timestamp,open,high,low,close,volume
2025-02-13 19:55:00,259.2500,259.3900,259.2500,259.3900,85
2025-02-13 19:50:00,259.8500,259.8500,259.8500,259.8500,1
2025-02-13 19:45:00,259.4500,259.4500,259.2700,259.2700,27
2025-02-13 19:40:00,259.8800,260.0000,259.3900,260.0000,114
2025-02-13 19:35:00,259.3900,259.3900,259.3900,259.3900,65
2025-02-13 19:30:00,259.3200,259.4200,259.3200,259.3887,1192
2025-02-13 19:25:00,259.3800,259.3900,259.3800,259.3900,16
2025-02-13 19:20:00,259.1800,259.3700,259.1800,259.3700,40
2025-02-13 19:15:00,259.2800,259.3100,259.2800,259.3100,7
2025-02-13 19:10:00,259.1800,259.2000,259.1500,259.1800,1512
2025-02-13 19:05:00,259.1800,259.1800,259.1700,259.1800,37
2025-02-13 19:00:00,259.1900,259.1900,259.1500,259.1784,970274
2025-02-13 18:55:00,259.1300,259.1800,259.1300,259.1500,104
2025-02-13 18:50:00,259.1500,259.1755,259.0000,259.1000,151
2025-02-13 18:40:00,259.1500,259.1500,259.1500,259.1500,1
2025-02-13 18:30:00,259.1900,259.1900,259.1000,259.1000,970203
2025-02-13 18:25:00,259.1500,259.1500,259.1500,259.1500,12
2025-02-13 18:20:00,259.1500,259.1500,259.1500,259.1500,1
2025-02-13 18:15:00,259.0000,259.1500,259.0000,259.1500,252
2025-02-13 18:10:00,259.0000,259.0000,259.0000,259.0000,158
2025-02-13 18:05:00,259.0100,259.0200,257.5375,257.5375,100
2025-02-13 18:00:00,257.5000,259.1500,257.5000,259.1500,17
2025-02-13 17:55:00,259.0500,259.3900,219.8800,259.3900,447
2025-02-13 17:50:00,259.0500,259.1500,259.0500,259.1500,15
2025-02-13 17:45:00,259.1400,259.1500,259.0037,259.0037,151
2025-02-13 17:35:00,259.0000,259.1463,259.0000,259.1463,89
2025-02-13 17:25:00,259.1500,259.1500,259.0000,259.0100,120
2025-02-13 17:20:00,259.1463,259.1463,259.1463,259.1463,2
2025-02-13 17:15:00,259.1500,259.1500,259.1500,259.1500,2
2025-02-13 17:10:00,259.0200,259.0200,259.0013,259.0013,16
2025-02-13 17:05:00,259.1900,259.1900,259.0800,259.1900,12
2025-02-13 17:00:00,259.1853,259.1853,259.1853,259.1853,5
2025-02-13 16:55:00,259.0000,259.1888,259.0000,259.1888,164
2025-02-13 16:50:00,259.1500,259.1500,259.0000,259.0000,12
2025-02-13 16:45:00,259.1100,259.1500,259.0000,259.1500,215
2025-02-13 16:40:00,259.1000,259.1100,259.0800,259.1100,68
2025-02-13 16:35:00,259.1400,259.1500,259.0000,259.1400,69
2025-02-13 16:30:00,259.0200,259.1500,259.0200,259.1500,62
2025-02-13 16:25:00,259.1900,259.1900,259.0200,259.0200,1552
